# WHICH HARDWARE FEATURES A BITSTREAM ACTUALLY CONTAINS, KEYED ON ITS CONTENT.
#
# WHY THIS FILE EXISTS.  Twice this campaign has measured a feature while running silicon that
# does not contain it: the attention unit's Arm A, and b30_lnab_on_run.json, which dispatched
# LayerNorm to a lane on 0x5A5A0028 -- a bitstream the registry describes, in its own words, as
# the thing 0x5A5A0029 is "plus the two lanes".  A run record faithfully named its soc_magic and
# its bitstream_md5 and then exercised whatever it liked.  Nothing connected the two.
#
# scripts/lib/bitstream_id.sh answers "is this build one a lab has been validated against".
# This file answers the different question "what is INSIDE it", so a lab can be refused BEFORE
# it dispatches to hardware that is not there.
#
# KEYED ON md5, NOT ON MAGIC, DELIBERATELY.  A MAGIC names a CONFIGURATION and travels with a
# variant whose RTL moves underneath it -- MAGIC_REGISTRY.md's own closing note records
# `roccmoonlanes` gaining a third lane while still stamping 0x5A5A002A.  The md5 is the content
# of the file the lab loads and is the one thing a lab cannot assert about itself.  The MAGIC
# column here is what the PL is EXPECTED to read back for that md5, and the gate checks the
# readback against it; a disagreement is a refusal, not a warning.
#
# FAIL CLOSED.  An md5 with no row here has NO known feature set, and a lab that cannot
# determine the feature set must refuse rather than proceed.  Adding a row is a claim about
# silicon: make it from MAGIC_REGISTRY.md's row for that build, in the same commit as the
# registry row, and never from what a lab wishes were true.
#
# FEATURE VOCABULARY (add to it only with a registry row to point at):
#   rocc_engine    the decoupled RoCC engine (mbxr, custom-0) is elaborated in the PL
#   ln_lane        mbxr_ln, the LayerNorm/GroupNorm lane, reachable by custom-1 lgo
#   attn_lane      mbxa_core, the attention unit
#   lut_lane       mbxl_lut, T4's 256-entry pointwise map
#   ln_twopass     the LN streamer replays its word range (0x5A5A002A's ten lines)
#   span_refusal   a range past the 1,024-word activation buffer is REFUSED, not wrapped
#   w_lane         revision 2b's weight half on its own clock behind a private AXI4 lane
#   mul_pipelined  the big core's pipelined multiplier (mulUnroll = 64)
#   l2_skip_clean  patch 0092, the skipped clean Release
#   wgt_int6       the engine's READ PORT expands 6-bit weight codes (mbxr_wunpack, and
#                  mbxr_tseq's phase): four MAC beats over three weight words, selected per
#                  DISPATCH by cfg rs1[48].  A guest that never sets that bit gets, beat for
#                  beat, the machine the build without it is -- so the feature is about what
#                  an int6 IMAGE may be loaded onto, not about what an int8 image gets.  An
#                  image built -DMBXR_RT_WBITS=6 on a build WITHOUT it hands packed codes to a
#                  byte-wide MAC: plausible numbers, silently wrong, and indistinguishable in
#                  any summary from an unpacker defect -- which is why it is a gated feature
#   drain_2d       mbxr_st's `st` descriptor is TWO-DIMENSIONAL (dst, row_bytes, nrows, row_stride)
#                  and the engine drains straight into out[npix][N].  An image built
#                  -DMBXR_RT_DRAIN_STRIDED=1 on a build without it falls back to the flat drain
#                  SILENTLY (mbxr_rt_pick reads the id word), which looks exactly like the
#                  control arm -- so the gate refuses it rather than let it be measured
#   pext           the MBP P-extension -- an image built -DMB_PEXT_HW=1 traps without it
#   mic rgb tacit  the PDM microphone, the RGB GPIO, TACIT
#   camera         the HM01B0 ospi capture + DMA + TLI2C on the Z1 shield
#   bwlab          a bandwidth instrument: no accelerator, no speech lab
#
# md5	magic	variant	features	note
# ---- the RoCC engine family ---------------------------------------------------------------
6f3e6f986d434f8959c6ce3b4548bf16	0x5A5A002E	roccmoondrain	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,drain_2d,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	SUPERSEDED BY d6112edd -- DO NOT LOAD. Same features, but its silicon decodes `st` as {stride, nrows[31:16], row_bytes[15:0]}, an rs2 field order NO pre-002E engine shares; a guest built for it hangs every pre-002E engine (nblocks=64) and a guest built for d6112edd transposes row_bytes/nrows on this one. B64's numbers were taken here with a matched driver and are internally valid; they are not reproducible from HEAD. MAGIC_REGISTRY.md 0x5A5A002E
d6112edd73503fd74ca4cab3cbd47492	0x5A5A002E	roccmoondrain	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,drain_2d,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	THE BUILD TO MEASURE. 002D plus the 2-D drain descriptor, with `nrows` in rs2[15:0] -- exactly the field a pre-002E engine reads as nblocks -- so one flat `st` word is correct on every engine built here. 45,051 LUT (84.68 %), 26,622 FF, 141 DSP, 90.5 BRAM36, 12,858 slices (96.68 %), WNS +0.719, WHS +0.026. The lane RTL is byte for byte 002D's, so every lane precondition above still holds -- INCLUDING the word count being a multiple of 8, which the 2-D descriptor could retire and does not yet
4902e8e870b3595e1f008fe87bdb90b6	0x5A5A002F	roccmoonint6	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,drain_2d,wgt_int6,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	d6112edd (0x5A5A002E) PLUS the 6-bit weight unpacker at the read port, and NOTHING ELSE: the lane RTL, mbxr_st.v, mbxd_spad2.v, mbxd_dma.v and mbx_mac.v are byte for byte 002E's, so every lane precondition on that row still holds INCLUDING the multiple-of-8 word count. The RTL delta is merge/mbxr_engine.v (cce8c84f -> d13170d8), mbxr_tseq.v (8596f212 -> e7ac9978) and mbxr_datapath.v (6c6aa1b8 -> c80c49d0). Post-route: 45,374 LUT (85.29 %), 26,756 FF, 141 DSP, 90.5 BRAM36, 12,981 slices (97.60 %), WNS +0.849, WHS +0.015 -- against 002E's 45,051 / 26,622 / 141 / 90.5 / 12,858 (96.68 %) / +0.719 / +0.026, so +323 LUT, +134 FF, 0 DSP, 0 BRAM, +123 slices, and it CLOSES with more slack than 002E. The critical path is entirely inside the L2 (coh_wrapper/l2/inclusive_cache_bank_sched/mshrs_4/s_release_reg -> mshrs_2/s_writeback_reg, 29 logic levels, 74 % route delay) and the unpacker is nowhere near it. THE int8 PATH IS BIT-EXACT AND CYCLE-IDENTICAL, which is what makes this one bitstream for both arms: compat/run_compat_tb.sh 119 / 1,078,701 / 96,619 / 63,999,256 unmoved, tb_mbxr on merge/ 201 / 1,435,630 / 127,080 / 79,347,241 unmoved
5188aeace23e85cc3d9b6d1e3154b21e	0x5A5A0030	roccmoonf40	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,drain_2d,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	d6112edd (0x5A5A002E) AT FCLK0 = 40.0000 MHz, and NOTHING ELSE. The feature set is 002E's to the letter -- no wgt_int6, the drain is 002E's, the lanes are 002E's -- because the engine RTL is PINNED BY MD5 to 002E's thirteen lane files in src/lanes_engine_002e/ (mbxr_engine.v cce8c84f, mbxr_tseq.v 8596f212, mbxr_datapath.v 6c6aa1b8 and the ten int6 did not touch), read instead of rtl_study/roccmoon/merge/ because that directory had already moved to 002F's d13170d8. THE POST-SYNTHESIS NETLIST IS BIT-IDENTICAL TO ALL TEN OF B79's ARMS: 46,496 LUT / 26,625 FF / 141 DSP / 90.5 BRAM36 -- which is the check that the pin worked and that the MAGIC constant itself costs nothing. Post-route at a 25.000 ns period: 45,177 LUT (84.92 %), 26,622 FF, 141 DSP, 90.5 BRAM36, 12,902 slices (97.01 %), WNS +0.123, WHS +0.034, 0 failing endpoints of 93,776. ITS GUEST MUST BE BUILT FOR chipyard_pynqz1_micrgb_f40 (CONFIG_SYS_CLOCK_HW_CYCLES_PER_SEC=40000): a 34483 guest here asks the SiFive UART for divisor 298 and gets 133,779 baud against 115,200 -- a GARBLED CONSOLE, plus an mtime 16 % fast while mcycle stays right. Runner run_rocket_roccmoonf40.py, whose DEFAULT_FCLK is 40.0; load with --fclk 40. Lab B81
de4ec983b09e98ded9058391bc4bcdbb	0x5A5A0031	roccmoonint6f40	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,drain_2d,wgt_int6,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	0x5A5A002F's engine -- the 6-bit weight unpacker at the read port -- AT FCLK0 = 40.0000 MHz. The feature set is 002F's to the letter (4902e8e8's row), wgt_int6 included, because the engine RTL is PINNED BY MD5 to src/lanes_engine_002f/ and is byte for byte that build's; so every lane precondition on the 4902e8e8 row still holds INCLUDING the multiple-of-8 word count, and `cfg` rs1[48] still chooses the grid per DISPATCH, so one bitstream still runs both the int8 and int6 arms. THIS IS THE `_po` BUILD AND IT NEEDED POST-ROUTE PHYS_OPT: the first draw missed at WNS -0.647 with 25 failing endpoints and is deliberately NOT in this file; this one is ROCKET_POSTROUTE_PHYSOPT=1 at WNS +0.013, WHS +0.016, 0 failing of 93,776 -- 45,457 LUT (85.45 %), 26,756 FF, 141 DSP, 90.5 BRAM36, 12,815 slices (96.35 %). +13 ps is one fiftieth of this part's 0.585 ns run-to-run WNS spread: it CLOSES and the margin means nothing. BUILT, NOT MEASURED -- no board arm has ever run on this md5, so it is in NO lab's BIT_ACCEPTED and this row is a claim about what is INSIDE it, not that anything has been validated against it. ITS GUEST MUST BE BUILT FOR chipyard_pynqz1_micrgb_f40 (CONFIG_SYS_CLOCK_HW_CYCLES_PER_SEC=40000), and it needs its own runner name in EXPECT_BY_RUNNER before any load. MAGIC_REGISTRY.md 0x5A5A0031. Lab B81
d37b9abb274f628d44043cdede7ce3f8	0x5A5A0032	roccmoonint6f41667	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,drain_2d,wgt_int6,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit	0x5A5A002F's engine -- the int6 weight unpacker at the read port -- AT FCLK0 = 41.6667 MHz (1000/24). The feature set is 002F's to the letter (4902e8e8's row), wgt_int6 included, because the engine RTL is PINNED BY MD5 to src/lanes_engine_002f/ and is byte for byte that build's; so every lane precondition on the 4902e8e8 row still holds INCLUDING the multiple-of-8 word count, and cfg rs1[48] still chooses the grid per DISPATCH, so one bitstream still runs both the int8 and int6 arms. THE POST-SYNTHESIS NETLIST IS BIT-IDENTICAL TO 0x5A5A0031's: 46,723 LUT / 26,759 FF / 141 DSP / 90.5 BRAM36 -- the check that the pin worked and that the clock is the whole delta. Post-route at a 24.000 ns period: 45,556 LUT (85.63 %), 26,786 FF, 141 DSP, 90.5 BRAM36, 12,791 slices (96.17 %), WNS +0.116, WHS +0.016, 0 failing of 94,050 -- ON THE FIRST DRAW, with ROCKET_POSTROUTE_PHYSOPT=1 set and SKIPPED because route_design had already closed, where de4ec983 at a period 1.000 ns LOOSER needed that pass to reach +0.013. Another draw from this part's 0.585 ns run-to-run WNS spread; the margin means nothing. The binding cone is the ENGINE's own u_sp -> u_mac -> u_q chain (19 logic levels), not the L2 (B79) and not the P-extension (B81). ITS GUEST MUST BE BUILT FOR chipyard_pynqz1_micrgb_f41667 (CONFIG_SYS_CLOCK_HW_CYCLES_PER_SEC=41667): a 34483 guest reads 139,353 baud here and the f40 guest 120,077, against 115,200 -- both garble the console rather than failing. Runner run_rocket_roccmoonint6f41667.py, whose DEFAULT_FCLK is 1000/24; load with --fclk 41.6667. MAGIC_REGISTRY.md 0x5A5A0032. Lab B83
# ---- speech-lab base builds ---------------------------------------------------------------
7712bc03ff1d53bfdd4673cfd71b3296	0x5A5A0005	pext	pext,mic,tacit	WITH the TACIT branch predictor
566bc5402d0cab22130942bf9904bfdb	0x5A5A0005	pext	pext,mic,tacit	without the TACIT branch predictor
4c8f7bf79e2f2464908eca8656abd691	0x5A5A0006	micrgb	pext,mic,rgb,tacit	FULL-FEATURE, no accelerator
# ---- bandwidth and L2 instruments: named so they are never "unknown", and none has an engine
737d2f5707857105be90c24c7f6610a2	0x5A5A0007	bw	bwlab,pext,mic,rgb,tacit	lever 1
f507f18f8a42cd42993e9f35ab9a787f	0x5A5A0008	bwfast	bwlab,pext,mic,rgb,tacit	lever 2
62ea1a99280c6a6920557ea4c845291d	0x5A5A0009	bwports	bwlab,pext,mic,rgb,tacit	lever 3
e18c817d7600045c1f628ed4f4355f98	0x5A5A000A	bwwide	bwlab,pext,mic,rgb,tacit	lever 4, 128-bit
49d2a1f420e37f7659970942bd7be85a	0x5A5A000E	bwwide256	bwlab,pext,mic,rgb,tacit	MAGIC COLLISION: built as 000E, the config is 0x5A5A000F (bwlab/errata.csv)
d3478730fcfcc5f7efc882fe420c26be	0x5A5A000F	bwwide256	bwlab,pext,mic,rgb,tacit	never measured
cab144c148fbe1f665483946d1c66e02	0x5A5A000B	bwl2mshr	bwlab,pext,mic,rgb,tacit	12 L2 MSHRs
1188777ed23ae6ecc18865e37f1a2f14	0x5A5A000C	bwl2cap	bwlab,pext,mic,rgb,tacit	256 KB L2
0a49d75637908ce6b99afc206fe6194a	0x5A5A000D	bwl2fast	bwlab,pext,mic,rgb,tacit	FCLK1 34.4828, patch 0090
b03f2ab3a26e8842a3902da2678a33bd	0x5A5A000D	bwl2fast	bwlab,pext,mic,rgb,tacit	FCLK1 40.0000, patch 0090
b710950bbef060fe3cc37b4a4ec7a9be	0x5A5A000D	bwl2fast	bwlab,pext,mic,rgb,tacit	before patch 0090 -- NOT for measurement
0981f7d29572010b1b3cd6e3bf32318b	0x5A5A000D	bwl2fast	bwlab,pext,mic,rgb,tacit	before patch 0090 -- NOT for measurement
7e2d9b3c6eaf8d6fefdc0f6b43cd0320	0x5A5A000D	bwl2fast	bwlab,pext,mic,rgb,tacit	FAILS TIMING -- a Fmax data point
9f9dfd8f5e99890649cf4118404b66cb	0x5A5A000D	bwl2fast	bwlab,pext,mic,rgb,tacit	FAILS TIMING -- NOT for measurement
b69c1f52a571e1f2190b3303692acac3	0x5A5A000E	bwl2cork	bwlab,pext,mic,rgb,tacit	ReleaseAck-first cork, characterisation only
a028626c995b243c92ce9be46d432e77	0x5A5A001A	bwl2skip	bwlab,l2_skip_clean,pext,mic,rgb,tacit	patch 0092
0df4d1d1204f9c18faf047183ac8818b	0x5A5A0014	bwbypassl2	bwlab,pext,mic,rgb,tacit	lever 3 on S_AXI_HP2
c17d1a2b0f7ec45e1a62298cf625507c	0x5A5A0015	bwbypass	bwlab,pext,mic,rgb,tacit	HP0+HP2
b13f237d3a99e102babe790ccfc5b69a	0x5A5A0016	bwbypass01	bwlab,pext,mic,rgb,tacit	HP0+HP1
387cbb78742641e58273e42d26ea5354	0x5A5A0016	bwbypass01	bwlab,pext,mic,rgb,tacit	f111
bacbe69b7b1a080399dfba2351ac9f7d	0x5A5A0016	bwbypass01	bwlab,pext,mic,rgb,tacit	f125
bf600a3b1de77d34487ac1399b05aea1	0x5A5A0017	bwbypass4	bwlab,pext,mic,rgb,tacit	four HP ports
36e753fd798551682115e0e1b0affa2d	0x5A5A0018	bwl2wsf	bwlab,l2_skip_clean,pext,mic,rgb,tacit	measured build
d4674e1705028a55af174c644f577fa2	0x5A5A0019	bwl2wsmf	bwlab,l2_skip_clean,pext,mic,rgb,tacit	measured build, 12 MSHRs
aee7e9879ab378381841984009101331	0x5A5A0020	axiceil	bwlab	PS7 + four raw AXI3 masters, NO SoC -- no core, no engine
275c728234a980f69689e22058b3470b	0x5A5A0033	roccmoonnch8f40	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,drain_2d,wgt_int6,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit,nch8	THE MAC ARRAY WIDENED TO NCH = 8 (64 MAC/cycle) AT FCLK0 = 40.0000 MHz (1000/25). Feature set is 0x5A5A0032's PLUS nch8; every lane precondition on that row still holds, the engine RTL being src/lanes_engine_b96nch8/ = lanes_engine_002f/ with EXACTLY TWO files changed (mbxa_unit.v, mbxr_lanes.v), mbxr_engine.v still d13170d8. THE TWO CHANGED FILES ARE THE WHOLE POINT: mbxr_lanes.v:190 instantiated mbxa_core WITHOUT passing NCH and mbxa_unit.v:202 hard-coded acc[127:0], so at NCH = 8 the engine drove a 256-bit accumulator into a 128-bit port and Vivado TRUNCATED IT, reporting [Synth 8-689] as a WARNING. Every out-of-context NCH=8 number this tree ever produced was measured on that mis-wired design. mbxa_core now takes NCH (default 4, so every other instantiation is unchanged); this build has ZERO 8-689 occurrences. Post-route at a 25.000 ns period: 49,102 LUT (92.30 %), 27,567 FF, 189 DSP, 106.5 BRAM36, 13,272 slices (99.79 %), WNS +0.208, WHS +0.031, 0 failing of 96,946 -- WITH ROCKET_POSTROUTE_PHYSOPT=1, which it NEEDS: on default directives the same netlist gave -0.662 with 2 failing endpoints. A SECOND INDEPENDENT DRAW of this logic closed at +0.045; two draws 0.163 ns apart, both closing, well inside this part's 0.585 ns spread -- but 13,272 of 13,300 slices is 28 SPARE and the margin means nothing on one build. The binding cone at 25.000 ns is u_lanes/u_attn/u_smx/u_div -> u_smx/so_mem, the softmax divider (the FIFTH distinct cone this campaign has seen); at 24.000 ns the same design bound on the L2 MSHR scheduler instead. ITS GUEST MUST BE BUILT FOR chipyard_pynqz1_micrgb_f40 (CONFIG_SYS_CLOCK_HW_CYCLES_PER_SEC=40000); load with --fclk 40. Added to the CAP=4 case in scripts 57, 58 AND 74 -- 74's list was stale at 0x5A5A0030 and is fixed in the same change. MAGIC_REGISTRY.md 0x5A5A0033. Lab B96
0d89fe1077d22738d68aaa221c113516	0x5A5A0034	roccmoonnch8f40b98	rocc_engine,ln_lane,attn_lane,lut_lane,ln_twopass,drain_2d,wgt_int6,mul_pipelined,l2_skip_clean,pext,mic,rgb,tacit,nch8	THE MAC ARRAY WIDENED TO NCH = 8 (64 MAC/cycle) AT FCLK0 = 40.0000 MHz (1000/25), WITH WEIGHT PLANE 7 ACTUALLY WRITTEN. Feature set is 0x5A5A0033's to the letter, nch8 included, because this build is 0x5A5A0033 with ONE LINE of RTL changed: the engine RTL is src/lanes_engine_b98nch8/ = lanes_engine_b96nch8/ with EXACTLY ONE file changed (mbxr_engine.v, now ee57840a), three files from shipping lanes_engine_002f/. THE ONE LINE IS THE WHOLE POINT: mbxr_whalf's port index was THREE BITS (wire [2:0] pport = pr[2:0] + 3'd1), so at NCH = 8 weight plane 7 addressed port 8, which does not fit, WRAPPED TO PORT 0 -- whose banks only the ACTIVATION write port drives (mbxd_spad2's p == 0 branch) -- and was SILENTLY DISCARDED. pbad = (pr >= NCH) could not fire: the plane index is legal, the PORT NUMBER overflows, and a 3-bit + 1 that wraps is legal Verilog with NO warning, not even [Synth 8-689]. ON 0x5A5A0033 THAT MEANS: with a MBXR_NCH=4 guest every dispatch hangs (B96 measured 0 of 4,125, last_rc -4), and with a -DMBXR_NCH=8 guest the dispatches COMPLETE and return n % 8 == 7 as ZERO with calls_engine > 0, calls_fallback = 0, last_rc = 0 and every scripts/74 gate green -- which is why 275c7282 is in bitstream_refused() and REFUSED_MD5 rather than merely superseded. GATED ON SIMULATION BEFORE PLACE-AND-ROUTE: rtl_study/roccmoon/run_nch8_gate.sh reported MBXR_NCH8_GATE_OK -- MBXR_TB_OK 119 cases at NCH = 8, and at NCH = 4 the shipping machine's EXACT 1,132,401 Gets / 122,186 Puts / 64,529,872 cycles, so 0x5A5A0032 is provably not regressed by the wider field (at NCH <= 4 the top bit is always 0 and wbank is bit-identical). Post-route at a 25.000 ns period: 49,098 LUT (92.29 %), 27,597 FF, 189 DSP, 106.5 BRAM36, 13,256 slices (99.67 %), WNS +0.137, WHS +0.036, 0 failing of 96,988, all user specified timing constraints met -- WITH ROCKET_POSTROUTE_PHYSOPT=1, which it NEEDS as 0x5A5A0033 and 0x5A5A0031 did. Against 0x5A5A0033 that is -4 LUT, +30 FF, -16 slices and the same DSP and BRAM: the four-bit port field costs nothing. Three draws of this logic now read +0.208, +0.045 and +0.137 -- all closing, all well inside this part's 0.585 ns spread, and 44 spare slices of 13,300 is NOT margin. Zero 8-689 (the build sets that ID to ERROR severity, so one would abort). ITS GUEST MUST BE BUILT FOR chipyard_pynqz1_micrgb_f40 (CONFIG_SYS_CLOCK_HW_CYCLES_PER_SEC=40000) AND COMPILED -DMBXR_NCH=8 -- scripts 57, 58 and 74 now select that by MAGIC in an NCH_CFLAG case beside CAP_CFLAG, and mbxr_rt.h re-checks it against the engine's own id word at init, refusing with MBXR_E_WIDTH = -6. Load with --fclk 40. Added to the CAP=4 case in scripts 57, 58 and 74. MAGIC_REGISTRY.md 0x5A5A0034. Lab B98
